lat:45.368607 lng:11.005054
lat:45.542633 lng:11.614299
lat:44.634365 lng:10.645365
lat:43.81181 lng:10.669657
lat:41.909584 lng:12.492239
lat:45.367096 lng:11.00032
lat:45.36763 lng:10.996458
lat:41.714073 lng:12.318338
lat:41.912041 lng:12.536153
lat:43.765568 lng:11.304995
lat:40.770287 lng:14.750648
lat:41.911156 lng:12.535901
lat:43.891495 lng:11.062962
lat:41.707748 lng:12.333745
lat:41.891716 lng:12.631661
lat:41.916569 lng:12.727652
lat:43.608711 lng:13.45194
lat:46.573463 lng:12.118806
lat:43.860245 lng:11.044177
lat:41.78743 lng:12.381861
lat:41.77763 lng:12.51711
lat:42.006817 lng:12.523224
lat:45.053825 lng:7.699318
lat:45.656071 lng:13.779259
lat:44.680855 lng:10.30893
lat:41.906033 lng:12.493513
lat:45.559551 lng:10.187366
lat:43.818115 lng:11.230325
lat:45.544476 lng:11.61474
lat:41.913952 lng:12.72947
lat:41.788586 lng:12.379792
lat:41.925468 lng:12.426415
lat:41.906307 lng:12.494477
lat:45.558609 lng:10.190878
lat:41.912903 lng:12.730566
lat:41.904381 lng:12.735492
lat:41.908539 lng:12.487731
lat:41.905544 lng:12.738049
lat:41.906475 lng:12.516488
lat:41.763721 lng:12.30059
lat:41.901016 lng:12.49234
lat:41.749634 lng:12.353208
lat:41.919392 lng:12.420053
lat:45.545715 lng:10.192615
lat:41.847435 lng:12.452618
lat:45.436108 lng:11.89147
lat:45.670292 lng:13.771433
lat:45.400921 lng:11.857043
lat:41.90382 lng:12.488343
lat:43.77803 lng:11.257444
lat:44.801224 lng:10.331379
lat:41.906517 lng:12.492795
lat:41.90453 lng:12.393128
lat:45.433315 lng:11.890255
lat:45.4188 lng:11.886938
lat:45.576336 lng:11.551612
lat:41.92408 lng:12.419425
lat:41.836315 lng:12.421224
lat:45.66589 lng:13.774764
lat:41.850815 lng:12.451483
lat:41.932159 lng:12.567052
lat:46.542358 lng:12.13585
lat:41.94453 lng:12.515506
lat:41.87693 lng:12.518003
lat:41.903484 lng:12.437416
lat:41.924049 lng:12.438331
lat:45.541481 lng:11.576162
lat:46.036293 lng:11.145534
lat:41.913544 lng:12.437479
lat:41.959827 lng:12.409208
lat:40.852245 lng:14.238471
lat:45.541714 lng:11.575123
lat:41.848228 lng:12.419334
lat:45.562115 lng:11.560316
lat:41.788204 lng:12.451113
lat:41.87418 lng:12.570481
lat:41.908806 lng:12.519562
lat:45.540848 lng:11.584575
lat:41.882401 lng:12.516602
lat:45.539543 lng:11.583228
lat:41.929283 lng:12.609786
lat:41.898159 lng:12.517175
lat:41.928051 lng:12.608258
lat:41.940899 lng:12.59639
lat:41.795689 lng:12.453399
lat:41.884212 lng:12.568129
lat:45.448341 lng:10.965181
lat:41.91943 lng:12.441296
lat:41.965893 lng:12.44295
lat:41.973339 lng:12.518617
lat:40.834412 lng:14.213691
lat:41.898682 lng:12.426814
lat:41.855091 lng:12.483863
lat:41.882797 lng:12.569848
lat:41.880882 lng:12.569404
lat:41.889088 lng:12.542413
lat:41.943314 lng:12.522789
lat:41.957779 lng:12.523345
lat:41.906166 lng:12.41408
lat:41.954273 lng:12.521631
lat:41.853855 lng:12.505716
lat:41.853455 lng:12.437707
lat:41.898724 lng:12.499102
lat:41.93232 lng:12.419933
lat:41.933395 lng:12.419064
lat:45.622486 lng:13.805595
lat:41.856762 lng:12.505376
lat:41.932262 lng:12.422118
lat:41.931988 lng:12.421914
lat:41.86174 lng:12.493438
lat:41.932816 lng:12.421369
lat:42.081482 lng:12.350426
lat:41.762596 lng:12.30119
lat:41.856575 lng:12.479055
lat:44.632988 lng:10.652126
lat:41.869659 lng:12.620154
lat:41.714924 lng:12.319569
lat:41.760815 lng:12.302458
lat:41.842468 lng:12.549373
lat:42.003307 lng:12.520512
lat:41.891739 lng:12.631726
lat:41.918064 lng:12.726244
lat:41.917107 lng:12.727173
lat:41.779423 lng:12.513656
lat:42.006554 lng:12.52428
lat:41.86414 lng:12.650716
lat:41.906494 lng:12.493197
lat:43.8624 lng:11.118546
lat:43.314617 lng:11.330878
lat:41.914539 lng:12.73223
lat:42.008381 lng:12.521877
lat:41.90329 lng:12.73532
lat:41.96508 lng:12.409384
lat:41.928013 lng:12.439079
lat:41.905987 lng:12.739831
lat:42.012562 lng:12.383564
lat:41.763622 lng:12.300457
lat:41.86517 lng:12.655183
lat:41.776882 lng:12.376551
lat:41.898537 lng:12.43
lat:41.906181 lng:12.492337
lat:41.761799 lng:12.31476
lat:41.924004 lng:12.438496
lat:38.272144 lng:15.483597
lat:41.912876 lng:12.437129
lat:41.959698 lng:12.409393
lat:41.911362 lng:12.437818
lat:45.431618 lng:11.886393
lat:41.918224 lng:12.441451
lat:45.369682 lng:11.010945
lat:45.431557 lng:11.044795
lat:45.543926 lng:11.614619
lat:44.631554 lng:10.659558
lat:45.366772 lng:11.0009
lat:41.911106 lng:12.535173
lat:41.885952 lng:12.52483
lat:45.36787 lng:10.996614
lat:41.716091 lng:12.31596
lat:41.908039 lng:12.479495
lat:46.522915 lng:12.135515
