lat:38.294125 lng:15.541668
lat:44.634365 lng:10.645365
lat:43.81181 lng:10.669657
lat:41.912041 lng:12.536153
lat:43.765568 lng:11.304995
lat:40.770287 lng:14.750648
lat:41.949558 lng:12.394268
lat:41.911156 lng:12.535901
lat:43.891495 lng:11.062962
lat:41.707748 lng:12.333745
lat:41.891716 lng:12.631661
lat:46.573463 lng:12.118806
lat:43.860245 lng:11.044177
lat:41.78743 lng:12.381861
lat:42.006817 lng:12.523224
lat:45.053825 lng:7.699318
lat:44.680855 lng:10.30893
lat:41.906033 lng:12.493513
lat:45.559551 lng:10.187366
lat:43.818115 lng:11.230325
lat:41.913952 lng:12.72947
lat:41.788586 lng:12.379792
lat:41.925468 lng:12.426415
lat:41.906307 lng:12.494477
lat:43.922375 lng:11.091735
lat:41.912903 lng:12.730566
lat:41.904381 lng:12.735492
lat:41.905544 lng:12.738049
lat:41.906475 lng:12.516488
lat:45.627628 lng:13.786274
lat:43.822826 lng:11.224602
lat:41.763721 lng:12.30059
lat:41.901016 lng:12.49234
lat:41.749634 lng:12.353208
lat:45.545715 lng:10.192615
lat:41.847435 lng:12.452618
lat:45.400921 lng:11.857043
lat:41.90382 lng:12.488343
lat:41.906517 lng:12.492795
lat:41.90453 lng:12.393128
lat:41.905941 lng:12.493412
lat:45.433315 lng:11.890255
lat:45.4188 lng:11.886938
lat:41.92408 lng:12.419425
lat:41.836315 lng:12.421224
lat:45.66589 lng:13.774764
lat:41.850815 lng:12.451483
lat:41.932159 lng:12.567052
lat:46.542358 lng:12.13585
lat:41.94453 lng:12.515506
lat:41.903484 lng:12.437416
lat:45.541481 lng:11.576162
lat:41.913544 lng:12.437479
lat:41.959827 lng:12.409208
lat:45.541714 lng:11.575123
lat:41.909447 lng:12.437874
lat:45.562115 lng:11.560316
lat:45.539543 lng:11.583228
lat:41.898159 lng:12.517175
lat:45.563408 lng:11.55914
lat:41.940899 lng:12.59639
lat:41.884212 lng:12.568129
lat:41.911434 lng:12.448947
lat:45.448341 lng:10.965181
lat:41.965893 lng:12.44295
lat:41.888351 lng:12.522043
lat:41.973339 lng:12.518617
lat:40.834412 lng:14.213691
lat:41.921398 lng:12.438088
lat:41.943333 lng:12.518807
lat:41.898682 lng:12.426814
lat:45.566387 lng:9.303875
lat:45.546841 lng:11.560421
lat:41.882797 lng:12.569848
lat:41.880882 lng:12.569404
lat:41.889088 lng:12.542413
lat:41.943314 lng:12.522789
lat:41.957779 lng:12.523345
lat:41.906166 lng:12.41408
lat:41.954273 lng:12.521631
lat:41.853855 lng:12.505716
lat:41.853455 lng:12.437707
lat:41.898724 lng:12.499102
lat:45.624229 lng:13.80348
lat:41.932262 lng:12.422118
lat:41.931988 lng:12.421914
lat:41.86174 lng:12.493438
lat:41.932816 lng:12.421369
lat:41.762596 lng:12.30119
lat:41.856575 lng:12.479055
lat:44.632988 lng:10.652126
lat:41.869659 lng:12.620154
lat:41.760815 lng:12.302458
lat:41.842468 lng:12.549373
lat:41.705566 lng:12.337554
lat:42.003307 lng:12.520512
lat:41.891739 lng:12.631726
lat:42.006554 lng:12.52428
lat:41.86414 lng:12.650716
lat:41.906494 lng:12.493197
lat:43.8624 lng:11.118546
lat:43.314617 lng:11.330878
lat:41.914539 lng:12.73223
lat:43.922787 lng:11.092039
lat:41.913036 lng:12.730523
lat:41.90329 lng:12.73532
lat:41.928013 lng:12.439079
lat:41.905987 lng:12.739831
lat:42.012562 lng:12.383564
lat:41.763622 lng:12.300457
lat:41.86517 lng:12.655183
lat:41.898537 lng:12.43
lat:41.906181 lng:12.492337
lat:41.761799 lng:12.31476
lat:41.905735 lng:12.495337
lat:38.272144 lng:15.483597
lat:41.912876 lng:12.437129
lat:41.959698 lng:12.409393
lat:41.911362 lng:12.437818
lat:45.431618 lng:11.886393
lat:45.431557 lng:11.044795
lat:44.631554 lng:10.659558
lat:41.716091 lng:12.31596
lat:46.522915 lng:12.135515
lat:41.948498 lng:12.393234
lat:41.920464 lng:12.510932
lat:41.88377 lng:12.523163
lat:43.872452 lng:11.06304
lat:41.787678 lng:12.380938
lat:41.941319 lng:12.385745
lat:45.656559 lng:13.78017
lat:41.921276 lng:12.509946
lat:45.559391 lng:10.187726
lat:45.659866 lng:13.783539
lat:41.788322 lng:12.380507
lat:45.400616 lng:11.854483
lat:41.917343 lng:12.511325
lat:41.923164 lng:12.509277
lat:45.432648 lng:11.890398
lat:45.418449 lng:11.888851
lat:41.771599 lng:12.479656
lat:41.8358 lng:12.420002
lat:45.665977 lng:13.775429
lat:41.930737 lng:12.567052
lat:41.944313 lng:12.514993
lat:41.912884 lng:12.537838
lat:41.877941 lng:12.573919
lat:45.540436 lng:11.580674
lat:45.541546 lng:11.576216
lat:41.848804 lng:12.4183
lat:41.997398 lng:12.473891
lat:41.917126 lng:12.498205
lat:45.563496 lng:11.560421
lat:41.874294 lng:12.571953
lat:43.887398 lng:11.070867
lat:45.536564 lng:11.581466
lat:45.563171 lng:11.556971
lat:41.921963 lng:12.525279
lat:41.940823 lng:12.598455
lat:41.911964 lng:12.493686
lat:41.922424 lng:12.524205
lat:41.794617 lng:12.455287
